keyword,counts
laptop,30
Microsoft,30
earbuds,29
monitor,28
NVIDIA,26
tablet,25
Samsung,24
Logitech,24
Intel,22
Apple,20
Sony,19
smartphone,12
AMD,12
mechanical keyboard,9
streaming stick,8
bluetooth speaker,6
smartwatch,5
4K webcam,4
wireless charger,3
OLED monitor,1
noise cancelling headphones,0
smart TV,0
