date,keyword,counts
8/29/21,mechanical keyboard,1
8/29/21,noise cancelling headphones,1
8/29/21,smartphone,1
8/29/21,smartwatch,2
9/5/21,Apple,65
9/5/21,Logitech,2
9/5/21,NVIDIA,2
9/5/21,OLED monitor,0
9/5/21,Samsung,25
9/5/21,laptop,35
9/5/21,mechanical keyboard,1
9/5/21,noise cancelling headphones,1
9/5/21,smartphone,1
9/5/21,smartwatch,2
9/12/21,Apple,87
9/12/21,Logitech,2
9/12/21,NVIDIA,2
9/12/21,OLED monitor,0
9/12/21,Samsung,25
9/12/21,laptop,36
9/12/21,mechanical keyboard,1
9/12/21,noise cancelling headphones,1
9/12/21,smartphone,1
9/12/21,smartwatch,2
9/19/21,Apple,77
9/19/21,Logitech,2
9/19/21,NVIDIA,2
9/19/21,OLED monitor,0
9/19/21,Samsung,24
9/19/21,laptop,35
9/19/21,mechanical keyboard,1
9/19/21,noise cancelling headphones,1
9/19/21,smartphone,1
9/19/21,smartwatch,2
9/26/21,Apple,74
9/26/21,Logitech,2
9/26/21,NVIDIA,2
9/26/21,OLED monitor,0
9/26/21,Samsung,25
9/26/21,laptop,34
9/26/21,mechanical keyboard,1
9/26/21,noise cancelling headphones,1
9/26/21,smartphone,1
9/26/21,smartwatch,2
10/3/21,Apple,72
10/3/21,Logitech,2
10/3/21,NVIDIA,2
10/3/21,OLED monitor,0
10/3/21,Samsung,22
10/3/21,laptop,35
10/3/21,mechanical keyboard,0
10/3/21,noise cancelling headphones,1
10/3/21,smartphone,1
10/3/21,smartwatch,2
10/10/21,Apple,72
10/10/21,Logitech,2
10/10/21,NVIDIA,2
10/10/21,OLED monitor,0
10/10/21,Samsung,24
10/10/21,laptop,33
10/10/21,mechanical keyboard,1
10/10/21,noise cancelling headphones,1
10/10/21,smartphone,1
10/10/21,smartwatch,2
10/17/21,Apple,75
10/17/21,Logitech,2
10/17/21,NVIDIA,2
10/17/21,OLED monitor,0
10/17/21,Samsung,24
10/17/21,laptop,35
10/17/21,mechanical keyboard,1
10/17/21,noise cancelling headphones,1
10/17/21,smartphone,1
10/17/21,smartwatch,2
10/24/21,Apple,68
10/24/21,Logitech,2
10/24/21,NVIDIA,2
10/24/21,OLED monitor,0
10/24/21,Samsung,25
10/24/21,laptop,34
10/24/21,mechanical keyboard,1
10/24/21,noise cancelling headphones,1
10/24/21,smartphone,1
10/24/21,smartwatch,2
10/31/21,Apple,65
10/31/21,Logitech,2
10/31/21,NVIDIA,3
10/31/21,OLED monitor,0
10/31/21,Samsung,25
10/31/21,laptop,35
10/31/21,mechanical keyboard,1
10/31/21,noise cancelling headphones,1
