source,keyword,counts
NewsAPI,smartphone,18
NYT,smartphone,7
NewsAPI,NVIDIA,24
NYT,NVIDIA,10
NewsAPI,tablet,9
NYT,tablet,4
NewsAPI,AI chip,21
NYT,AI chip,8
